Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Caida Ocupante,-75.5530003037,Tramo de via,10,5,0,1,1,6.25347171055,1
Otro,-75.5462561309,Lote o Predio,20,5,0,1,1,6.25106805379,1
Choque,-75.5599630587,Interseccion,20,5,0,1,1,6.27511588197,1
Choque,-75.5688493577,Tramo de via,20,6,0,1,1,6.26467585792,1
Choque,-75.5458635925,Tramo de via,30,6,0,1,1,6.26477532038,1
Caida Ocupante,-75.5886352265,Tramo de via,0,7,0,1,1,6.28425958289,1
Atropello,-75.5746922725,Tramo de via,15,7,0,1,1,6.23305438652,1
Choque,-75.5786184016,Tramo de via,50,7,0,1,1,6.29610276694,0
Choque,-75.557075382,Tramo de via,10,8,0,1,1,6.24990983867,0
Choque,-75.5513732678,Lote o Predio,45,8,0,1,1,6.24715039989,1
Caida Ocupante,-75.5733892852,Puente,50,9,0,1,1,6.26033577296,1
Choque,-75.6158139499,Tramo de via,53,9,0,1,1,6.28754535538,0
Otro,-75.6020633178,Tramo de via,40,10,0,1,1,6.2121352444,1
Otro,-75.5896903831,Tramo de via,50,10,0,1,1,6.19763283383,1
Atropello,-75.603926592,Interseccion,5,11,0,1,1,6.25814456656,1
Choque,-75.6417027353,Interseccion,30,11,0,1,1,6.18269350722,0
Choque,-75.5854692084,Glorieta,45,11,0,1,1,6.21681314059,1
Choque,-75.5530992502,Interseccion,50,11,0,1,1,6.27615331174,1
Otro,-75.5456574566,Tramo de via,0,12,0,1,1,6.2750833185,1
Choque,-75.5981696246,Interseccion,0,12,0,1,1,6.23125296676,1
Caida Ocupante,-75.6075726385,Tramo de via,0,13,0,1,1,6.23109126228,1
Otro,-75.5436998109,Tramo de via,20,14,0,1,1,6.26186389819,1
Atropello,-75.5469250816,Tramo de via,0,15,0,1,1,6.24122602231,1
Caida Ocupante,-75.5801430866,Lote o Predio,30,17,0,1,1,6.28363835592,1
Otro,-75.6080857507,Lote o Predio,30,17,0,1,1,6.25484065619,1
Atropello,-75.5415447418,Tramo de via,30,17,0,1,1,6.29464030228,1
Otro,-75.5593093743,Lote o Predio,30,17,0,1,1,6.25218777605,1
Choque,-75.5705009966,Interseccion,50,17,0,1,1,6.25860188386,1
Choque,-75.5956120876,Tramo de via,0,18,0,1,1,6.28176572149,1
